Timestamp,CPU (%),RAM (%),Disco (%),Upload (KB/s),Download (KB/s)
22:25:46,9.1,71.8,92.7,5.638671875,1.841796875
22:25:47,4.0,71.8,92.7,5.0615234375,0.0
22:25:48,16.9,71.8,92.7,11.044921875,10.8740234375
22:25:49,16.1,71.8,92.7,20.4990234375,1.0185546875
22:25:50,8.8,71.8,92.7,7.1953125,4.0087890625
22:25:51,8.8,71.8,92.7,13.994140625,1.923828125
22:25:52,6.4,71.9,92.7,35.9248046875,1.9306640625
22:25:53,12.6,71.9,92.7,19.876953125,2.765625
22:25:54,9.0,72.1,92.7,12.3369140625,8.8466796875
22:25:56,18.6,72.1,92.7,44.478515625,4.11328125
22:25:57,10.0,72.1,92.7,0.1396484375,0.73046875
22:25:58,8.3,72.1,92.7,5.337890625,0.21875
22:25:59,12.5,72.1,92.7,28.9248046875,3.1787109375
22:26:00,11.8,72.1,92.7,6.34765625,5.99609375
22:26:01,8.9,72.1,92.7,42.73828125,24.0322265625
22:26:02,13.6,72.0,92.7,8.1591796875,1.8349609375
22:26:03,2.9,72.1,92.7,0.1455078125,0.23046875
22:26:04,5.2,72.1,92.7,4.6689453125,0.4267578125
22:26:05,5.2,72.1,92.7,0.220703125,0.6298828125
22:26:06,5.4,72.1,92.7,4.85546875,0.53515625
22:26:08,9.1,72.0,92.7,9.767578125,2.3896484375
22:26:09,15.0,72.1,92.7,4.6689453125,0.0
22:26:10,11.5,72.1,92.7,0.16015625,0.7041015625
22:26:11,16.1,72.1,92.7,23.5830078125,3.1357421875
22:26:12,18.5,72.0,92.7,5.953125,0.876953125
22:26:13,9.7,72.1,92.7,34.0625,8.626953125
22:26:14,12.8,72.0,92.7,6.330078125,0.787109375
22:26:15,12.9,72.1,92.7,5.7314453125,2.3017578125
22:26:16,10.0,72.0,92.7,27.3515625,3.2333984375
22:26:17,12.8,72.0,92.7,8.4033203125,1.8359375
22:26:18,8.3,72.1,92.7,3.3837890625,1.107421875
22:26:20,5.7,72.0,92.7,7.8984375,0.4697265625
22:26:21,7.9,72.1,92.7,6.7822265625,2.5986328125
22:26:22,13.5,72.1,92.7,5.8701171875,1.0546875
22:26:23,9.3,72.1,92.7,10.7470703125,2.6650390625
22:26:24,15.2,72.1,92.7,5.5654296875,0.984375
22:26:25,5.5,72.0,92.7,4.861328125,0.2919921875
22:26:26,10.4,72.1,92.7,14.12109375,2.0068359375
22:26:27,9.6,71.9,92.7,8.3203125,1.82421875
22:26:28,9.2,71.9,92.7,25.3486328125,2.8759765625
22:26:29,7.3,71.9,92.7,0.2265625,0.8662109375
22:26:30,3.0,71.9,92.7,4.806640625,0.46875
22:26:31,4.3,71.9,92.7,9.0888671875,1.78515625
22:26:32,4.4,71.9,92.7,4.6962890625,0.3515625
22:26:34,7.3,71.9,92.7,0.052734375,0.5615234375
22:26:35,11.0,71.9,92.7,5.5009765625,1.375
22:26:36,7.8,71.9,92.7,0.365234375,0.5
22:26:37,11.1,71.8,92.7,9.357421875,1.6806640625
22:26:38,12.8,71.9,92.7,3.3994140625,0.48828125
22:26:39,9.6,71.8,92.7,19.8740234375,2.2607421875
22:26:40,17.4,72.1,92.7,9.51953125,3.029296875
22:26:41,7.4,72.0,92.7,4.7412109375,0.29296875
22:26:42,10.5,72.1,92.7,36.1728515625,10.216796875
22:26:43,9.7,72.2,92.7,5.39453125,2.0068359375
22:26:44,16.0,72.2,92.7,0.55078125,2.455078125
22:26:45,10.2,72.1,92.7,11.267578125,3.7119140625
22:26:47,11.2,72.1,92.7,8.8349609375,1.0810546875
22:26:48,15.0,72.1,92.7,4.9921875,1.6669921875
22:26:49,8.0,72.1,92.7,21.4755859375,2.83203125
22:26:50,16.2,72.1,92.7,4.8125,0.150390625
22:26:51,14.7,72.1,92.7,15.0048828125,2.9990234375
22:26:52,9.0,72.1,92.7,8.4541015625,0.2939453125
22:26:53,7.9,72.1,92.7,11.392578125,1.482421875
22:26:54,10.4,72.1,92.7,31.0634765625,3.0869140625
22:26:55,5.9,72.1,92.7,6.6259765625,1.349609375
22:26:56,13.5,72.1,92.7,5.201171875,1.4443359375
22:26:57,6.8,72.1,92.7,0.14453125,1.4716796875
22:26:59,9.3,72.1,92.7,7.076171875,1.0078125
22:27:00,12.9,72.1,92.7,0.208984375,0.5869140625
22:27:01,9.2,72.2,92.7,50.560546875,40.13671875
22:27:02,7.3,72.0,92.7,6.6298828125,2.046875
22:27:03,11.4,72.1,92.7,5.2490234375,0.48828125
22:27:04,11.4,72.0,92.7,12.3603515625,3.166015625
22:27:05,12.4,72.0,92.7,5.71484375,0.8955078125
22:27:06,11.9,72.0,92.7,17.3876953125,8.7783203125
22:27:07,13.4,72.1,92.7,8.53515625,2.509765625
22:27:08,4.5,72.0,92.7,0.6220703125,0.6923828125
22:27:09,8.3,72.1,92.7,5.091796875,0.716796875
22:27:11,8.6,71.9,92.7,5.0595703125,1.947265625
